,trade_date,open,low,close,pre_close,change,high
578,20170105,3.48,3.45,3.46,3.47,-0.01,3.48
579,20170104,3.46,3.45,3.47,3.47,0.0,3.48
580,20170103,3.44,3.43,3.47,3.44,0.03,3.48
581,20161230,3.42,3.42,3.44,3.42,0.02,3.44
582,20161229,3.41,3.4,3.42,3.42,0.0,3.44
583,20161228,3.41,3.4,3.42,3.41,0.01,3.43
584,20161227,3.43,3.41,3.41,3.44,-0.03,3.44
585,20161226,3.42,3.39,3.44,3.43,0.01,3.44
586,20161223,3.44,3.41,3.43,3.45,-0.02,3.45
587,20161222,3.45,3.43,3.45,3.46,-0.01,3.46
588,20161221,3.42,3.41,3.46,3.42,0.04,3.46
589,20161220,3.45,3.39,3.42,3.46,-0.04,3.46
590,20161219,3.45,3.43,3.46,3.46,0.0,3.47
591,20161216,3.47,3.44,3.46,3.48,-0.02,3.48
592,20161215,3.57,3.47,3.48,3.59,-0.11,3.58
593,20161214,3.57,3.57,3.59,3.58,0.01,3.64
594,20161213,3.62,3.54,3.58,3.64,-0.06,3.63
595,20161212,3.6,3.58,3.64,3.59,0.05,3.74
596,20161209,3.51,3.51,3.59,3.52,0.07,3.62
597,20161208,3.5,3.49,3.52,3.5,0.02,3.52
598,20161207,3.5,3.49,3.5,3.5,0.0,3.51
599,20161206,3.51,3.5,3.5,3.51,-0.01,3.52
600,20161205,3.5,3.48,3.51,3.51,0.0,3.52
601,20161202,3.51,3.47,3.51,3.52,-0.01,3.52
602,20161201,3.51,3.49,3.52,3.51,0.01,3.54
603,20161130,3.55,3.5,3.51,3.56,-0.05,3.55
604,20161129,3.54,3.51,3.56,3.54,0.02,3.57
605,20161128,3.5,3.49,3.54,3.49,0.05,3.57
606,20161125,3.45,3.45,3.49,3.45,0.04,3.49
607,20161124,3.45,3.44,3.45,3.45,0.0,3.46
608,20161123,3.42,3.42,3.45,3.43,0.02,3.48
609,20161122,3.39,3.39,3.43,3.41,0.02,3.43
610,20161121,3.37,3.37,3.41,3.38,0.03,3.42
611,20161118,3.39,3.37,3.38,3.39,-0.01,3.39
612,20161117,3.38,3.37,3.39,3.39,0.0,3.4
613,20161116,3.39,3.37,3.39,3.39,0.0,3.39
614,20161115,3.39,3.37,3.39,3.4,-0.01,3.4
615,20161114,3.37,3.37,3.4,3.38,0.02,3.4
616,20161111,3.37,3.36,3.38,3.38,0.0,3.38
617,20161110,3.37,3.36,3.38,3.36,0.02,3.39
618,20161109,3.38,3.34,3.36,3.38,-0.02,3.39
619,20161108,3.36,3.36,3.38,3.36,0.02,3.4
620,20161107,3.36,3.35,3.36,3.37,-0.01,3.37
621,20161104,3.37,3.35,3.37,3.38,-0.01,3.38
622,20161103,3.37,3.35,3.38,3.38,0.0,3.38
623,20161102,3.39,3.37,3.38,3.4,-0.02,3.4
624,20161101,3.38,3.38,3.4,3.39,0.01,3.4
625,20161031,3.4,3.38,3.39,3.41,-0.02,3.4
626,20161028,3.39,3.38,3.41,3.39,0.02,3.41
627,20161027,3.41,3.37,3.39,3.41,-0.02,3.41
628,20161026,3.44,3.4,3.41,3.44,-0.03,3.44
629,20161025,3.43,3.43,3.44,3.43,0.01,3.45
630,20161024,3.4,3.39,3.43,3.4,0.03,3.46
631,20161021,3.39,3.37,3.4,3.39,0.01,3.4
632,20161020,3.39,3.38,3.39,3.38,0.01,3.4
633,20161019,3.39,3.38,3.38,3.39,-0.01,3.41
634,20161018,3.36,3.36,3.39,3.36,0.03,3.4
635,20161017,3.38,3.36,3.36,3.38,-0.02,3.38
636,20161014,3.38,3.36,3.38,3.38,0.0,3.38
637,20161013,3.39,3.37,3.38,3.39,-0.01,3.39
638,20161012,3.4,3.38,3.39,3.4,-0.01,3.4
639,20161011,3.4,3.39,3.4,3.4,0.0,3.41
640,20161010,3.38,3.37,3.4,3.37,0.03,3.4
641,20160930,3.36,3.36,3.37,3.37,0.0,3.38
642,20160929,3.36,3.36,3.37,3.36,0.01,3.37
643,20160928,3.38,3.35,3.36,3.38,-0.02,3.38
644,20160927,3.37,3.35,3.38,3.37,0.01,3.39
645,20160926,3.4,3.36,3.37,3.4,-0.03,3.4
646,20160923,3.39,3.38,3.4,3.39,0.01,3.41
647,20160922,3.38,3.38,3.39,3.38,0.01,3.41
648,20160921,3.35,3.33,3.38,3.34,0.04,3.39
649,20160920,3.35,3.33,3.34,3.35,-0.01,3.35
650,20160919,3.33,3.32,3.35,3.34,0.01,3.35
651,20160914,3.37,3.32,3.34,3.38,-0.04,3.38
652,20160913,3.38,3.38,3.38,3.38,0.0,3.4
653,20160912,3.43,3.37,3.38,3.44,-0.06,3.43
654,20160909,3.45,3.44,3.44,3.45,-0.01,3.46
655,20160908,3.45,3.44,3.45,3.45,0.0,3.46
656,20160907,3.45,3.44,3.45,3.46,-0.01,3.46
657,20160906,3.46,3.45,3.46,3.46,0.0,3.47
658,20160905,3.47,3.45,3.46,3.47,-0.01,3.48
659,20160902,3.47,3.45,3.47,3.48,-0.01,3.48
660,20160901,3.48,3.47,3.48,3.47,0.01,3.49
661,20160831,3.45,3.45,3.47,3.45,0.02,3.48
662,20160830,3.43,3.43,3.45,3.43,0.02,3.45
663,20160829,3.45,3.41,3.43,3.45,-0.02,3.45
664,20160826,3.45,3.44,3.45,3.46,-0.01,3.46
665,20160825,3.45,3.43,3.46,3.46,0.0,3.46
666,20160824,3.46,3.43,3.46,3.46,0.0,3.47
667,20160823,3.44,3.43,3.46,3.45,0.01,3.49
668,20160822,3.42,3.41,3.45,3.43,0.02,3.46
